Date,Symbol,Quantity,Price,Trade Type
2023-01-11 05:00:00+00:00,DXCM,34.0,112.41,buy
2023-01-11 05:00:00+00:00,EQT,110.0,34.6,buy
2023-01-11 05:00:00+00:00,SMCI,49.0,78.31,buy
2023-01-11 05:00:00+00:00,DELL,91.0,42.08,buy
2023-01-11 05:00:00+00:00,CTRA,151.0,25.36,buy
2023-01-11 05:00:00+00:00,SCHW,44.0,85.55,buy
2023-01-11 05:00:00+00:00,VZ,91.0,42.14,buy
2023-01-11 05:00:00+00:00,WBD,298.0,12.88,buy
2023-01-11 05:00:00+00:00,CAH,49.0,78.19,buy
2023-01-11 05:00:00+00:00,ZBRA,-13.0,289.0,sell
2023-01-11 05:00:00+00:00,EQR,-64.0,59.09,sell
2023-01-11 05:00:00+00:00,AOS,-63.0,60.19,sell
2023-01-11 05:00:00+00:00,ENPH,-16.0,229.22,sell
2023-01-11 05:00:00+00:00,JBL,-53.0,71.98,sell
2023-01-11 05:00:00+00:00,FRT,-37.0,102.41,sell
2023-01-11 05:00:00+00:00,AMZN,-42.0,90.93,sell
2023-01-11 05:00:00+00:00,UAL,-84.0,45.49,sell
2023-01-11 05:00:00+00:00,ABNB,-43.0,89.0,sell
2023-01-11 05:00:00+00:00,GEHC,-63.0,60.44,sell
2023-01-11 05:00:00+00:00,TFX,-14.0,239.77,close
2023-01-11 05:00:00+00:00,DXCM,-34.0,106.16,close
2023-01-11 05:00:00+00:00,EQT,-110.0,33.4,close
2023-01-11 05:00:00+00:00,SMCI,-49.0,75.61,close
2023-01-11 05:00:00+00:00,DELL,-91.0,40.77,close
2023-01-11 05:00:00+00:00,CTRA,-151.0,24.69,close
2023-01-11 05:00:00+00:00,SCHW,-44.0,83.42,close
2023-01-11 05:00:00+00:00,VZ,-91.0,41.18,close
2023-01-11 05:00:00+00:00,WBD,-298.0,12.6,close
2023-01-11 05:00:00+00:00,CAH,-49.0,76.52,close
2023-01-11 05:00:00+00:00,ZBRA,13.0,299.79,close
2023-01-11 05:00:00+00:00,EQR,64.0,61.39,close
2023-01-11 05:00:00+00:00,AOS,63.0,62.58,close
2023-01-11 05:00:00+00:00,ENPH,16.0,238.82,close
2023-01-11 05:00:00+00:00,JBL,53.0,75.0,close
2023-01-11 05:00:00+00:00,FRT,37.0,107.07,close
2023-01-11 05:00:00+00:00,AMZN,42.0,95.09,close
2023-01-11 05:00:00+00:00,UAL,84.0,47.71,close
2023-01-11 05:00:00+00:00,ABNB,43.0,94.44,close
2023-01-11 05:00:00+00:00,GEHC,63.0,64.99,close
2023-01-12 05:00:00+00:00,TECH,42.0,86.31,buy
2023-01-12 05:00:00+00:00,DPZ,10.0,350.72,buy
2023-01-12 05:00:00+00:00,DGX,23.0,153.82,buy
2023-01-12 05:00:00+00:00,RSG,28.0,127.06,buy
2023-01-12 05:00:00+00:00,ZBRA,12.0,301.84,buy
2023-01-12 05:00:00+00:00,MKC,44.0,83.28,buy
2023-01-12 05:00:00+00:00,WM,23.0,156.98,buy
2023-01-12 05:00:00+00:00,AZO,1.0,2424.71,buy
2023-01-12 05:00:00+00:00,DVA,45.0,80.24,buy
2023-01-12 05:00:00+00:00,RVTY,27.0,135.46,buy
2023-01-12 05:00:00+00:00,EQT,-108.0,33.85,sell
2023-01-12 05:00:00+00:00,FSLR,-21.0,173.1,sell
2023-01-12 05:00:00+00:00,ABNB,-38.0,95.31,sell
2023-01-12 05:00:00+00:00,MOS,-81.0,45.33,sell
2023-01-12 05:00:00+00:00,NCLH,-249.0,14.79,sell
2023-01-12 05:00:00+00:00,RCL,-61.0,60.1,sell
2023-01-12 05:00:00+00:00,PWR,-26.0,141.55,sell
2023-01-12 05:00:00+00:00,CTSH,-59.0,62.2,sell
2023-01-12 05:00:00+00:00,SMCI,-48.0,76.45,sell
2023-01-12 05:00:00+00:00,UAL,-75.0,48.61,sell
2023-01-12 05:00:00+00:00,TECH,-42.0,82.17,close
2023-01-12 05:00:00+00:00,DPZ,-10.0,337.62,close
2023-01-12 05:00:00+00:00,DGX,-23.0,148.12,close
2023-01-12 05:00:00+00:00,RSG,-28.0,123.27,close
2023-01-12 05:00:00+00:00,ZBRA,-12.0,293.0,close
2023-01-12 05:00:00+00:00,MKC,-44.0,80.97,close
2023-01-12 05:00:00+00:00,WM,-23.0,152.68,close
2023-01-12 05:00:00+00:00,AZO,-1.0,2363.0,close
2023-01-12 05:00:00+00:00,DVA,-45.0,78.22,close
2023-01-12 05:00:00+00:00,RVTY,-27.0,132.16,close
2023-01-12 05:00:00+00:00,EQT,108.0,34.96,close
2023-01-12 05:00:00+00:00,FSLR,21.0,178.85,close
2023-01-12 05:00:00+00:00,ABNB,38.0,98.49,close
2023-01-12 05:00:00+00:00,MOS,81.0,46.98,close
2023-01-12 05:00:00+00:00,NCLH,249.0,15.35,close
2023-01-12 05:00:00+00:00,RCL,61.0,62.44,close
2023-01-12 05:00:00+00:00,PWR,26.0,147.81,close
2023-01-12 05:00:00+00:00,CTSH,59.0,65.1,close
2023-01-12 05:00:00+00:00,SMCI,48.0,80.45,close
2023-01-12 05:00:00+00:00,UAL,75.0,51.3,close
2023-01-13 05:00:00+00:00,NOC,7.0,474.4,buy
2023-01-13 05:00:00+00:00,GD,14.0,243.98,buy
2023-01-13 05:00:00+00:00,HPQ,125.0,28.3,buy
2023-01-13 05:00:00+00:00,HST,206.0,17.23,buy
2023-01-13 05:00:00+00:00,ATO,30.0,116.02,buy
2023-01-13 05:00:00+00:00,NRG,110.0,32.23,buy
2023-01-13 05:00:00+00:00,EXPD,32.0,110.0,buy
2023-01-13 05:00:00+00:00,EVRG,55.0,63.51,buy
2023-01-13 05:00:00+00:00,FDX,18.0,190.45,buy
2023-01-13 05:00:00+00:00,FE,82.0,43.14,buy
2023-01-13 05:00:00+00:00,NVDA,-21.0,162.78,sell
